,precision,recall,f1-score,support
C,1.0,0.9966666666666667,0.998330550918197,300.0
Down,1.0,1.0,1.0,300.0
Fist,1.0,1.0,1.0,300.0
Fist Moved,1.0,1.0,1.0,300.0
Index,1.0,1.0,1.0,300.0
L,1.0,1.0,1.0,300.0
OK,1.0,1.0,1.0,300.0
Palm,1.0,1.0,1.0,300.0
Palm Moved,0.9966777408637874,1.0,0.9983361064891847,300.0
Thumb,1.0,1.0,1.0,300.0
accuracy,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667
macro avg,0.9996677740863789,0.9996666666666666,0.9996666657407381,3000.0
weighted avg,0.9996677740863789,0.9996666666666667,0.999666665740738,3000.0
